nis_code_patiënt;postcode_patiënt;gemeente_patiënt;leeftijdsgroep;erkenningsnummer_ziekenhuis;gemeente_ziekenhuis;naam_ziekenhuis;marktaandeel;totaal_aantal_patiënten_per_leeftijd_en_per_gemeente;totaal_patiënten_per_gemeente
11001;2630;Aartselaar;Kinderen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.2447552447552448;143;2201
11001;2630;Aartselaar;Kinderen;99;Antwerpen;GZA ziekenhuizen;0.3496503496503496;143;2201
11001;2630;Aartselaar;Kinderen;300;Edegem;UZ Antwerpen;0.2447552447552448;143;2201
11001;2630;Aartselaar;Actieven;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1593511450381679;1048;2201
11001;2630;Aartselaar;Actieven;99;Antwerpen;GZA ziekenhuizen;0.2290076335877863;1048;2201
11001;2630;Aartselaar;Actieven;300;Edegem;UZ Antwerpen;0.2080152671755725;1048;2201
11001;2630;Aartselaar;Actieven;314;Rumst;AZ Heilige Familie;0.2261450381679389;1048;2201
11001;2630;Aartselaar;Bejaarden;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1633663366336634;1010;2201
11001;2630;Aartselaar;Bejaarden;99;Antwerpen;GZA ziekenhuizen;0.1683168316831683;1010;2201
11001;2630;Aartselaar;Bejaarden;300;Edegem;UZ Antwerpen;0.1712871287128713;1010;2201
11001;2630;Aartselaar;Bejaarden;314;Rumst;AZ Heilige Familie;0.403960396039604;1010;2201
11002;2000;Antwerpen;Kinderen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.3968745964096603;7743;80086
11002;2000;Antwerpen;Kinderen;99;Antwerpen;GZA ziekenhuizen;0.2186491024150846;7743;80086
11002;2000;Antwerpen;Kinderen;100;Antwerpen;Sint-Vincentiusziekenhuis;0.08782125791037065;7743;80086
11002;2000;Antwerpen;Kinderen;300;Edegem;UZ Antwerpen;0.06754487924577038;7743;80086
11002;2000;Antwerpen;Kinderen;682;Antwerpen;AZ Monica;0.1142967841921736;7743;80086
11002;2000;Antwerpen;Actieven;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.3872613395292454;39596;80086
11002;2000;Antwerpen;Actieven;99;Antwerpen;GZA ziekenhuizen;0.2178755429841398;39596;80086
11002;2000;Antwerpen;Actieven;100;Antwerpen;Sint-Vincentiusziekenhuis;0.06162238609960602;39596;80086
11002;2000;Antwerpen;Actieven;300;Edegem;UZ Antwerpen;0.09309021113243762;39596;80086
11002;2000;Antwerpen;Actieven;682;Antwerpen;AZ Monica;0.1181432467926053;39596;80086
11002;2000;Antwerpen;Bejaarden;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.4579961523192964;32747;80086
11002;2000;Antwerpen;Bejaarden;99;Antwerpen;GZA ziekenhuizen;0.2025223684612331;32747;80086
11002;2000;Antwerpen;Bejaarden;100;Antwerpen;Sint-Vincentiusziekenhuis;0.05356215836565181;32747;80086
