code_ins_patient;code_postal_patient;commune_patient;classe_âge;numéro_agrément_hôpital;commune_hôpital;nom_hôpital;part_de_marché;total_par_classe_âge_et_commune_patient;total_par_commune_patient
11001;2630;Aartselaar;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2173913043478261;138;2831
11001;2630;Aartselaar;Enfants;99;Anvers;GZA ziekenhuizen;0.2028985507246377;138;2831
11001;2630;Aartselaar;Enfants;300;Edegem;UZ Antwerpen;0.05072463768115942;138;2831
11001;2630;Aartselaar;Enfants;314;Rumst;AZ Heilige Familie;0.3115942028985507;138;2831
11001;2630;Aartselaar;Enfants;682;Anvers;AZ Monica;0.05797101449275362;138;2831
11001;2630;Aartselaar;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1502256608639587;1551;2831
11001;2630;Aartselaar;Actifs;99;Anvers;GZA ziekenhuizen;0.2134107027724049;1551;2831
11001;2630;Aartselaar;Actifs;300;Edegem;UZ Antwerpen;0.1347517730496454;1551;2831
11001;2630;Aartselaar;Actifs;314;Rumst;AZ Heilige Familie;0.355899419729207;1551;2831
11001;2630;Aartselaar;Actifs;682;Anvers;AZ Monica;0.05157962604771115;1551;2831
11001;2630;Aartselaar;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1339754816112084;1142;2831
11001;2630;Aartselaar;Retraités;99;Anvers;GZA ziekenhuizen;0.1506129597197898;1142;2831
11001;2630;Aartselaar;Retraités;300;Edegem;UZ Antwerpen;0.1970227670753065;1142;2831
11001;2630;Aartselaar;Retraités;314;Rumst;AZ Heilige Familie;0.446584938704028;1142;2831
11002;2000;Anvers;Enfants;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4848124669836239;7572;79971
11002;2000;Anvers;Enfants;99;Anvers;GZA ziekenhuizen;0.1954569466455362;7572;79971
11002;2000;Anvers;Enfants;682;Anvers;AZ Monica;0.1423666138404649;7572;79971
11002;2000;Anvers;Actifs;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4056295101071221;44622;79971
11002;2000;Anvers;Actifs;99;Anvers;GZA ziekenhuizen;0.2624041952400161;44622;79971
11002;2000;Anvers;Actifs;682;Anvers;AZ Monica;0.169781722020528;44622;79971
11002;2000;Anvers;Retraités;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4032112899161177;27777;79971
