nis_code_patiënt;postcode_patiënt;gemeente_patiënt;erkenningsnummer_ziekenhuis;gemeente_ziekenhuis;naam_ziekenhuis;marktaandeel;totaal_patiënten_per_gemeente
11001;2630;Aartselaar;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1545064377682404;2330
11001;2630;Aartselaar;99;Antwerpen;GZA ziekenhuizen;0.2004291845493562;2330
11001;2630;Aartselaar;300;Edegem;UZ Antwerpen;0.2133047210300429;2330
11001;2630;Aartselaar;314;Rumst;AZ Heilige Familie;0.3055793991416309;2330
11002;2000;Antwerpen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.4139657378535846;80497
11002;2000;Antwerpen;99;Antwerpen;GZA ziekenhuizen;0.2701964048349628;80497
11002;2000;Antwerpen;300;Edegem;UZ Antwerpen;0.08225151247872592;80497
11002;2000;Antwerpen;682;Antwerpen;AZ Monica;0.1285141061157559;80497
11004;2530;Boechout;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1057803468208093;1730
11004;2530;Boechout;97;Lier;H.-Hartziekenhuis Lier;0.2167630057803468;1730
11004;2530;Boechout;99;Antwerpen;GZA ziekenhuizen;0.4352601156069364;1730
11004;2530;Boechout;300;Edegem;UZ Antwerpen;0.1023121387283237;1730
11004;2530;Boechout;682;Antwerpen;AZ Monica;0.05144508670520231;1730
11005;2850;Boom;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.09654954099398544;3159
11005;2850;Boom;99;Antwerpen;GZA ziekenhuizen;0.09433364988920545;3159
11005;2850;Boom;300;Edegem;UZ Antwerpen;0.1364355808800253;3159
11005;2850;Boom;314;Rumst;AZ Heilige Familie;0.5235834124723013;3159
11007;2150;Borsbeek;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.2152777777777778;1584
11007;2150;Borsbeek;99;Antwerpen;GZA ziekenhuizen;0.2026515151515151;1584
11007;2150;Borsbeek;300;Edegem;UZ Antwerpen;0.09595959595959595;1584
11007;2150;Borsbeek;682;Antwerpen;AZ Monica;0.3952020202020202;1584
11008;2930;Brasschaat;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1074964639321075;5656
11008;2930;Brasschaat;99;Antwerpen;GZA ziekenhuizen;0.0586987270155587;5656
11008;2930;Brasschaat;300;Edegem;UZ Antwerpen;0.0838048090523338;5656
11008;2930;Brasschaat;710;Brasschaat;AZ Klina;0.6124469589816125;5656
11009;2960;Brecht;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1099350493144094;4157
11009;2960;Brecht;99;Antwerpen;GZA ziekenhuizen;0.05845561703151311;4157
11009;2960;Brecht;300;Edegem;UZ Antwerpen;0.06038008178975222;4157
11009;2960;Brecht;536;Malle;AZ Sint-Jozef Malle;0.4637960067356267;4157
11009;2960;Brecht;682;Antwerpen;AZ Monica;0.05388501323069522;4157
11009;2960;Brecht;710;Brasschaat;AZ Klina;0.1592494587442868;4157
