code_ins_patient;code_postal_patient;commune_patient;numéro_agrément_hôpital;commune_hôpital;nom_hôpital;part_de_marché;total_par_commune_patient
11001;2630;Aartselaar;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1518253155919481;2931
11001;2630;Aartselaar;99;Anvers;GZA ziekenhuizen;0.2562265438416922;2931
11001;2630;Aartselaar;300;Edegem;UZ Antwerpen;0.1419310815421358;2931
11001;2630;Aartselaar;314;Rumst;AZ Heilige Familie;0.328215626066189;2931
11002;2000;Anvers;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.4070423500388323;87556
11002;2000;Anvers;99;Anvers;GZA ziekenhuizen;0.2680570149390105;87556
11002;2000;Anvers;300;Edegem;UZ Antwerpen;0.06199460916442048;87556
11002;2000;Anvers;682;Anvers;AZ Monica;0.1607656813924802;87556
11004;2530;Boechout;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1047503045066991;2463
11004;2530;Boechout;26;Malines;AZ Sint-Maarten;0.07226958993097848;2463
11004;2530;Boechout;97;Lierre;Heilig-Hartziekenhuis;0.2391392610637434;2463
11004;2530;Boechout;99;Anvers;GZA ziekenhuizen;0.3857084855866829;2463
11004;2530;Boechout;300;Edegem;UZ Antwerpen;0.07592367032074705;2463
11004;2530;Boechout;682;Anvers;AZ Monica;0.07145757206658547;2463
11005;2850;Boom;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1111727197116718;3607
11005;2850;Boom;99;Anvers;GZA ziekenhuizen;0.09537011366786803;3607
11005;2850;Boom;300;Edegem;UZ Antwerpen;0.1067369004713058;3607
11005;2850;Boom;314;Rumst;AZ Heilige Familie;0.5364568893817577;3607
11007;2150;Borsbeek;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2501143118427069;2187
11007;2150;Borsbeek;99;Anvers;GZA ziekenhuizen;0.1714677640603567;2187
11007;2150;Borsbeek;300;Edegem;UZ Antwerpen;0.07270233196159122;2187
11007;2150;Borsbeek;682;Anvers;AZ Monica;0.4179240969364426;2187
11008;2930;Brasschaat;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1366863905325444;6760
11008;2930;Brasschaat;99;Anvers;GZA ziekenhuizen;0.08801775147928995;6760
11008;2930;Brasschaat;682;Anvers;AZ Monica;0.06760355029585799;6760
11008;2930;Brasschaat;710;Brasschaat;AZ Klina;0.5979289940828403;6760
11009;2960;Brecht;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1516171246962049;5349
11009;2960;Brecht;99;Anvers;GZA ziekenhuizen;0.05627220041129183;5349
11009;2960;Brecht;300;Edegem;UZ Antwerpen;0.05720695457094784;5349
11009;2960;Brecht;536;Malle;AZ Sint-Jozef Malle;0.3843709104505515;5349
11009;2960;Brecht;682;Anvers;AZ Monica;0.08412787436904094;5349
11009;2960;Brecht;710;Brasschaat;AZ Klina;0.2077023742755655;5349
11013;2650;Edegem;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1771624601813281;4081
11013;2650;Edegem;99;Anvers;GZA ziekenhuizen;0.5197255574614065;4081
11013;2650;Edegem;300;Edegem;UZ Antwerpen;0.1519235481499633;4081
11013;2650;Edegem;682;Anvers;AZ Monica;0.05660377358490566;4081
11016;2910;Essen;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1260445682451254;2872
11016;2910;Essen;99;Anvers;GZA ziekenhuizen;0.06998607242339833;2872
11016;2910;Essen;536;Malle;AZ Sint-Jozef Malle;0.0644150417827298;2872
11016;2910;Essen;710;Brasschaat;AZ Klina;0.5967966573816156;2872
11018;2620;Hemiksem;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.2321665928223305;2257
11018;2620;Hemiksem;99;Anvers;GZA ziekenhuizen;0.203810367744794;2257
11018;2620;Hemiksem;300;Edegem;UZ Antwerpen;0.08285334514842711;2257
11018;2620;Hemiksem;314;Rumst;AZ Heilige Familie;0.3393885688967656;2257
11018;2620;Hemiksem;682;Anvers;AZ Monica;0.05626938413823659;2257
11021;2540;Hove;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.0930817610062893;1590
11021;2540;Hove;26;Malines;AZ Sint-Maarten;0.0660377358490566;1590
11021;2540;Hove;99;Anvers;GZA ziekenhuizen;0.570440251572327;1590
11021;2540;Hove;300;Edegem;UZ Antwerpen;0.08427672955974842;1590
11021;2540;Hove;682;Anvers;AZ Monica;0.05660377358490566;1590
11022;2920;Kalmthout;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1126029905401282;3277
11022;2920;Kalmthout;99;Anvers;GZA ziekenhuizen;0.08452853219407995;3277
11022;2920;Kalmthout;682;Anvers;AZ Monica;0.0549282880683552;3277
11022;2920;Kalmthout;710;Brasschaat;AZ Klina;0.6145865120537076;3277
11023;2950;Kapellen (Anvers);9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1816820029959341;4673
11023;2950;Kapellen (Anvers);99;Anvers;GZA ziekenhuizen;0.1031457307939225;4673
11023;2950;Kapellen (Anvers);300;Edegem;UZ Antwerpen;0.06462657821527927;4673
11023;2950;Kapellen (Anvers);682;Anvers;AZ Monica;0.08773806976246523;4673
11023;2950;Kapellen (Anvers);710;Brasschaat;AZ Klina;0.5073828375775733;4673
11024;2550;Kontich;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.0945038547624969;4021
11024;2550;Kontich;26;Malines;AZ Sint-Maarten;0.1604078587416066;4021
11024;2550;Kontich;99;Anvers;GZA ziekenhuizen;0.3593633424521263;4021
11024;2550;Kontich;300;Edegem;UZ Antwerpen;0.1576722208405869;4021
11024;2550;Kontich;314;Rumst;AZ Heilige Familie;0.06316836607809002;4021
11024;2550;Kontich;682;Anvers;AZ Monica;0.07187266849042527;4021
11025;2547;Lint;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.05175600739371534;1623
11025;2547;Lint;26;Malines;AZ Sint-Maarten;0.3253234750462107;1623
11025;2547;Lint;97;Lierre;Heilig-Hartziekenhuis;0.1478743068391867;1623
11025;2547;Lint;99;Anvers;GZA ziekenhuizen;0.2359827479975354;1623
11025;2547;Lint;300;Edegem;UZ Antwerpen;0.08995686999383858;1623
11029;2640;Mortsel;9;Anvers;Ziekenhuisnetwerk Antwerpen;0.1848595324898134;4663
11029;2640;Mortsel;99;Anvers;GZA ziekenhuizen;0.5777396525841733;4663
11029;2640;Mortsel;300;Edegem;UZ Antwerpen;0.07098434484237615;4663
11029;2640;Mortsel;682;Anvers;AZ Monica;0.07527342912288226;4663
