nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;aantal_verblijven_per_ziekenhuis_gemeente_patient;marktaandeel
11001;2630;Aartselaar;2330;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;303;0.1300429
11001;2630;Aartselaar;2330;26;AZ Sint-Maarten;Mechelen;33;0.0141631
11001;2630;Aartselaar;2330;97;Heilig-Hartziekenhuis;Lier;9;0.0038627
11001;2630;Aartselaar;2330;99;GZA ziekenhuizen;Antwerpen;426;0.1828326
11001;2630;Aartselaar;2330;236;Revalidatieziekenhuis RevArte;Edegem;34;0.0145923
11001;2630;Aartselaar;2330;300;UZ Antwerpen;Edegem;631;0.2708155
11001;2630;Aartselaar;2330;314;AZ Rivierenland;Rumst;720;0.3090129
11001;2630;Aartselaar;2330;322;UZ Leuven;Leuven;20;0.0085837
11001;2630;Aartselaar;2330;536;AZ Sint-Jozef Malle;Malle;11;0.004721
11001;2630;Aartselaar;2330;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);6;0.0025751
11001;2630;Aartselaar;2330;670;UZ Gent;Gent;5;0.0021459
11001;2630;Aartselaar;2330;682;AZ Monica;Antwerpen;74;0.0317597
11001;2630;Aartselaar;2330;710;AZ Klina;Brasschaat;11;0.004721
11002;2000;Antwerpen;79520;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;31246;0.3929326
11002;2000;Antwerpen;79520;12;AZ Sint-Blasius;Dendermonde;17;0.0002138
11002;2000;Antwerpen;79520;17;AZ Maria Middelares;Gent;42;0.0005282
11002;2000;Antwerpen;79520;26;AZ Sint-Maarten;Mechelen;201;0.0025277
11002;2000;Antwerpen;79520;32;AZ Alma;Eeklo;12;0.0001509
11002;2000;Antwerpen;79520;46;Woonzorg- & revalidatiecentrum De Dennen;Malle;16;0.0002012
11002;2000;Antwerpen;79520;49;AZ Sint-Jan Brugge - Oostende;Brugge;68;0.0008551
11002;2000;Antwerpen;79520;63;AZ Turnhout;Turnhout;139;0.001748
11002;2000;Antwerpen;79520;76;UMC Sint-Pieter;Brussel;19;0.0002389
11002;2000;Antwerpen;79520;77;UVC Brugmann;Brussel;32;0.0004024
11002;2000;Antwerpen;79520;79;Jules Bordet Instituut;Brussel;16;0.0002012
11002;2000;Antwerpen;79520;87;Iris Ziekenhuizen Zuid;Etterbeek;20;0.0002515
11002;2000;Antwerpen;79520;97;Heilig-Hartziekenhuis;Lier;170;0.0021378
11002;2000;Antwerpen;79520;99;GZA ziekenhuizen;Antwerpen;20975;0.2637701
