nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;aantal_verblijven_per_ziekenhuis_gemeente_patient;marktaandeel
11001;2630;Aartselaar;3079;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;434;0.1409549
11001;2630;Aartselaar;3079;26;AZ Sint-Maarten;Mechelen;55;0.0178629
11001;2630;Aartselaar;3079;97;Heilig Hart Ziekenhuis - Lier;Lier;6;0.0019487
11001;2630;Aartselaar;3079;99;GZA ziekenhuizen;Antwerpen;678;0.2202014
11001;2630;Aartselaar;3079;104;AZ Rivierenland;Rumst;1018;0.3306268
11001;2630;Aartselaar;3079;143;UZ Brussel;Jette;6;0.0019487
11001;2630;Aartselaar;3079;300;UZ Antwerpen;Edegem;650;0.2111075
11001;2630;Aartselaar;3079;322;UZ Leuven;Leuven;30;0.0097434
11001;2630;Aartselaar;3079;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);6;0.0019487
11001;2630;Aartselaar;3079;682;AZ Monica;Antwerpen;152;0.0493667
11001;2630;Aartselaar;3079;710;AZ Klina;Brasschaat;15;0.0048717
11002;2000;Antwerpen;80720;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;31946;0.3957631
11002;2000;Antwerpen;80720;12;AZ Sint-Blasius;Dendermonde;23;0.0002849
11002;2000;Antwerpen;80720;17;AZ Maria Middelares;Gent;28;0.0003469
11002;2000;Antwerpen;80720;26;AZ Sint-Maarten;Mechelen;397;0.0049182
11002;2000;Antwerpen;80720;32;AZ Alma;Eeklo;11;0.0001363
11002;2000;Antwerpen;80720;49;AZ Sint-Jan Brugge - Oostende;Brugge;36;0.000446
11002;2000;Antwerpen;80720;63;AZ Turnhout;Turnhout;163;0.0020193
11002;2000;Antwerpen;80720;76;UMC Sint-Pieter;Brussel;8;9.91e-05
11002;2000;Antwerpen;80720;79;Jules Bordet Instituut;Brussel;32;0.0003964
11002;2000;Antwerpen;80720;87;Iris Ziekenhuizen Zuid;Etterbeek;13;0.0001611
11002;2000;Antwerpen;80720;97;Heilig Hart Ziekenhuis - Lier;Lier;223;0.0027626
11002;2000;Antwerpen;80720;99;GZA ziekenhuizen;Antwerpen;19447;0.2409192
11002;2000;Antwerpen;80720;102;Heilig Hart Ziekenhuis;Mol;26;0.0003221
11002;2000;Antwerpen;80720;104;AZ Rivierenland;Rumst;658;0.0081516
11002;2000;Antwerpen;80720;106;AZ Sint-Maria;Halle (Vlaams-Brabant);9;0.0001115
11002;2000;Antwerpen;80720;108;RZ Heilig Hart Leuven;Leuven;66;0.0008176
11002;2000;Antwerpen;80720;109;RZ Tienen;Tienen;14;0.0001734
