code_ins;code_postal;commune_patient;nombre_de_séjours_par_comunne_patient;numéro_agrément_hôpital;dénomination;commune_hôpital;nombre_de_séjours_par_hôpital_comunne_patient;part_de_marché
11001;2630;Aartselaar;3429;9;ZIEKENHUISNETWERK ANTWERPEN (ZNA);Anvers;559;0.16302128900554
11001;2630;Aartselaar;3429;26;AZ SINT-MAARTEN;Malines;78;0.02274715660542
11001;2630;Aartselaar;3429;97;HEILIG HART ZIEKENHUIS;Lierre;19;0.00554097404491
11001;2630;Aartselaar;3429;99;GZA- ZIEKENHUIZEN;Anvers;716;0.20880723242928
11001;2630;Aartselaar;3429;104;AZ RIVIERENLAND;Rumst;1174;0.34237386993293
11001;2630;Aartselaar;3429;143;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;8;0.00233304170312
11001;2630;Aartselaar;3429;300;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;616;0.17964421114027
11001;2630;Aartselaar;3429;308;AZ HERENTALS;Herentals;5;0.00145815106445
11001;2630;Aartselaar;3429;322;UZ LEUVEN;Louvain;39;0.01137357830271
11001;2630;Aartselaar;3429;595;AZ NIKOLAAS;Saint-Nicolas (Flandre orientale);10;0.0029163021289
11001;2630;Aartselaar;3429;670;UNIVERSITAIR ZIEKENHUIS;Gand;8;0.00233304170312
11001;2630;Aartselaar;3429;682;AZ MONICA;Anvers;153;0.04461942257218
11001;2630;Aartselaar;3429;689;IMELDA ZIEKENHUIS;Bonheiden;5;0.00145815106445
11001;2630;Aartselaar;3429;710;AZ KLINA;Brasschaat;11;0.00320793234179
11002;2000;Anvers;94364;6;CHR SAMBRE ET MEUSE (SITE MEUSE);Namur;6;6.358357001e-05
11002;2000;Anvers;94364;9;ZIEKENHUISNETWERK ANTWERPEN (ZNA);Anvers;37801;0.40058708829638
11002;2000;Anvers;94364;12;AZ SINT-BLASIUS;Termonde;42;0.00044508499004
11002;2000;Anvers;94364;17;AZ MARIA MIDDELARES;Gand;30;0.00031791785003
11002;2000;Anvers;94364;26;AZ SINT-MAARTEN;Malines;384;0.00406934848035
11002;2000;Anvers;94364;32;A.Z. ALMA;Eeklo;15;0.00015895892501
11002;2000;Anvers;94364;49;AZ SINT-JAN BRUGGE - OOSTENDE;Bruges;30;0.00031791785003
11002;2000;Anvers;94364;63;AZ TURNHOUT;Turnhout;175;0.00185452079183
