code_ins;code_postal;commune_patient;nombre_de_séjours_par_comunne_patient;classe;nombre_de_séjours_par_âge;numéro_agrément_hôpital;dénomination;commune_hôpital;nombre_de_séjours_par_hôpital_comunne_patient_âge;part_de_marché
11001;2630;Aartselaar;3429;Moins de 15 ans;127;9;ZIEKENHUISNETWERK ANTWERPEN (ZNA);Anvers;29;0.22834645669291
11001;2630;Aartselaar;3429;Moins de 15 ans;127;99;GZA- ZIEKENHUIZEN;Anvers;13;0.10236220472441
11001;2630;Aartselaar;3429;Moins de 15 ans;127;104;AZ RIVIERENLAND;Rumst;35;0.2755905511811
11001;2630;Aartselaar;3429;Moins de 15 ans;127;300;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;17;0.13385826771654
11001;2630;Aartselaar;3429;Moins de 15 ans;127;322;UZ LEUVEN;Louvain;19;0.1496062992126
11001;2630;Aartselaar;3429;Moins de 15 ans;127;682;AZ MONICA;Anvers;5;0.03937007874016
11001;2630;Aartselaar;3429;De 15 à 64 ans;1478;9;ZIEKENHUISNETWERK ANTWERPEN (ZNA);Anvers;245;0.16576454668471
11001;2630;Aartselaar;3429;De 15 à 64 ans;1478;26;AZ SINT-MAARTEN;Malines;34;0.02300405953992
11001;2630;Aartselaar;3429;De 15 à 64 ans;1478;97;HEILIG HART ZIEKENHUIS;Lierre;12;0.00811907983762
11001;2630;Aartselaar;3429;De 15 à 64 ans;1478;99;GZA- ZIEKENHUIZEN;Anvers;314;0.21244925575101
11001;2630;Aartselaar;3429;De 15 à 64 ans;1478;104;AZ RIVIERENLAND;Rumst;472;0.31935047361299
11001;2630;Aartselaar;3429;De 15 à 64 ans;1478;143;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;5;0.00338294993234
11001;2630;Aartselaar;3429;De 15 à 64 ans;1478;300;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;237;0.16035182679296
11001;2630;Aartselaar;3429;De 15 à 64 ans;1478;322;UZ LEUVEN;Louvain;17;0.01150202976996
11001;2630;Aartselaar;3429;De 15 à 64 ans;1478;595;AZ NIKOLAAS;Saint-Nicolas (Flandre orientale);5;0.00338294993234
11001;2630;Aartselaar;3429;De 15 à 64 ans;1478;682;AZ MONICA;Anvers;104;0.07036535859269
11001;2630;Aartselaar;3429;De 15 à 64 ans;1478;710;AZ KLINA;Brasschaat;7;0.00473612990528
11001;2630;Aartselaar;3429;65 ans et plus;1824;9;ZIEKENHUISNETWERK ANTWERPEN (ZNA);Anvers;285;0.15625
11001;2630;Aartselaar;3429;65 ans et plus;1824;26;AZ SINT-MAARTEN;Malines;42;0.02302631578947
11001;2630;Aartselaar;3429;65 ans et plus;1824;97;HEILIG HART ZIEKENHUIS;Lierre;6;0.00328947368421
11001;2630;Aartselaar;3429;65 ans et plus;1824;99;GZA- ZIEKENHUIZEN;Anvers;389;0.21326754385965
11001;2630;Aartselaar;3429;65 ans et plus;1824;104;AZ RIVIERENLAND;Rumst;667;0.3656798245614
11001;2630;Aartselaar;3429;65 ans et plus;1824;300;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;362;0.1984649122807
11001;2630;Aartselaar;3429;65 ans et plus;1824;595;AZ NIKOLAAS;Saint-Nicolas (Flandre orientale);5;0.00274122807018
11001;2630;Aartselaar;3429;65 ans et plus;1824;682;AZ MONICA;Anvers;44;0.02412280701754
11002;2000;Anvers;94364;Moins de 15 ans;7220;9;ZIEKENHUISNETWERK ANTWERPEN (ZNA);Anvers;3486;0.48282548476454
11002;2000;Anvers;94364;Moins de 15 ans;7220;26;AZ SINT-MAARTEN;Malines;25;0.00346260387812
11002;2000;Anvers;94364;Moins de 15 ans;7220;63;AZ TURNHOUT;Turnhout;5;0.00069252077562
11002;2000;Anvers;94364;Moins de 15 ans;7220;97;HEILIG HART ZIEKENHUIS;Lierre;5;0.00069252077562
11002;2000;Anvers;94364;Moins de 15 ans;7220;99;GZA- ZIEKENHUIZEN;Anvers;1099;0.15221606648199
11002;2000;Anvers;94364;Moins de 15 ans;7220;104;AZ RIVIERENLAND;Rumst;107;0.01481994459834
11002;2000;Anvers;94364;Moins de 15 ans;7220;143;UNIVERSITAIR ZIEKENHUIS BRUSSEL;Jette;8;0.001108033241
11002;2000;Anvers;94364;Moins de 15 ans;7220;300;UNIVERSITAIR ZIEKENHUIS ANTWERPEN;Edegem;711;0.09847645429363
11002;2000;Anvers;94364;Moins de 15 ans;7220;308;AZ HERENTALS;Herentals;11;0.00152354570637
11002;2000;Anvers;94364;Moins de 15 ans;7220;322;UZ LEUVEN;Louvain;260;0.03601108033241
11002;2000;Anvers;94364;Moins de 15 ans;7220;536;AZ VOORKEMPEN;Malle;10;0.00138504155125
11002;2000;Anvers;94364;Moins de 15 ans;7220;595;AZ NIKOLAAS;Saint-Nicolas (Flandre orientale);17;0.00235457063712
11002;2000;Anvers;94364;Moins de 15 ans;7220;670;UNIVERSITAIR ZIEKENHUIS;Gand;88;0.01218836565097
11002;2000;Anvers;94364;Moins de 15 ans;7220;682;AZ MONICA;Anvers;1172;0.16232686980609
11002;2000;Anvers;94364;Moins de 15 ans;7220;710;AZ KLINA;Brasschaat;160;0.02216066481994
11002;2000;Anvers;94364;Moins de 15 ans;7220;713;AZ JAN PALFIJN;Gand;5;0.00069252077562
