nis_code_patiënt;postcode_patiënt;gemeente_patiënt;leeftijdsgroep;erkenningsnummer_ziekenhuis;gemeente_ziekenhuis;naam_ziekenhuis;marktaandeel;totaal_aantal_patiënten_per_leeftijd_en_per_gemeente;totaal_patiënten_per_gemeente
11001;2630;Aartselaar;Kinderen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.2550335570469799;149;3006
11001;2630;Aartselaar;Kinderen;99;Antwerpen;GZA ziekenhuizen;0.2751677852348993;149;3006
11001;2630;Aartselaar;Kinderen;300;Edegem;UZ Antwerpen;0.06040268456375839;149;3006
11001;2630;Aartselaar;Kinderen;314;Rumst;AZ Heilige Familie;0.2751677852348993;149;3006
11001;2630;Aartselaar;Actieven;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1674418604651163;1720;3006
11001;2630;Aartselaar;Actieven;99;Antwerpen;GZA ziekenhuizen;0.2313953488372093;1720;3006
11001;2630;Aartselaar;Actieven;300;Edegem;UZ Antwerpen;0.1168604651162791;1720;3006
11001;2630;Aartselaar;Actieven;314;Rumst;AZ Heilige Familie;0.3162790697674419;1720;3006
11001;2630;Aartselaar;Actieven;682;Antwerpen;AZ Monica;0.06162790697674419;1720;3006
11001;2630;Aartselaar;Bejaarden;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.1380826737027265;1137;3006
11001;2630;Aartselaar;Bejaarden;99;Antwerpen;GZA ziekenhuizen;0.1706244503078276;1137;3006
11001;2630;Aartselaar;Bejaarden;300;Edegem;UZ Antwerpen;0.1899736147757256;1137;3006
11001;2630;Aartselaar;Bejaarden;314;Rumst;AZ Heilige Familie;0.434476693051891;1137;3006
11002;2000;Antwerpen;Kinderen;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.4938190426091531;7604;82872
11002;2000;Antwerpen;Kinderen;99;Antwerpen;GZA ziekenhuizen;0.1934508153603367;7604;82872
11002;2000;Antwerpen;Kinderen;682;Antwerpen;AZ Monica;0.144660704892162;7604;82872
11002;2000;Antwerpen;Actieven;9;Antwerpen;Ziekenhuisnetwerk Antwerpen;0.4113902271163111;46496;82872
11002;2000;Antwerpen;Actieven;99;Antwerpen;GZA ziekenhuizen;0.2616569167240193;46496;82872
11002;2000;Antwerpen;Actieven;300;Edegem;UZ Antwerpen;0.05166035788024776;46496;82872
11002;2000;Antwerpen;Actieven;682;Antwerpen;AZ Monica;0.1649174122505162;46496;82872
