code_ins;code_postal;commune_patient;nombre_de_séjours;numéro_agrément_hôpital;dénomination;commune_hôpital;part_de_marché
11001;2630;Aartselaar;3007;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.150981
11001;2630;Aartselaar;3007;99;GZA ziekenhuizen;Anvers;0.2297971
11001;2630;Aartselaar;3007;300;UZ Antwerpen;Edegem;0.150981
11001;2630;Aartselaar;3007;314;AZ Heilige Familie;Rumst;0.3372132
11001;2630;Aartselaar;3007;682;AZ Monica;Anvers;0.0505487
11002;2000;Anvers;88721;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.4051916
11002;2000;Anvers;88721;99;GZA ziekenhuizen;Anvers;0.2680312
11002;2000;Anvers;88721;300;UZ Antwerpen;Edegem;0.0580359
11002;2000;Anvers;88721;682;AZ Monica;Anvers;0.1692159
11004;2530;Boechout;2480;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1197581
11004;2530;Boechout;2480;26;AZ Sint-Maarten;Malines;0.0641129
11004;2530;Boechout;2480;97;Heilig-Hartziekenhuis;Lierre;0.216129
11004;2530;Boechout;2480;99;GZA ziekenhuizen;Anvers;0.4129032
11004;2530;Boechout;2480;300;UZ Antwerpen;Edegem;0.0693548
11004;2530;Boechout;2480;682;AZ Monica;Anvers;0.0721774
11005;2850;Boom;3750;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0954667
11005;2850;Boom;3750;99;GZA ziekenhuizen;Anvers;0.096
11005;2850;Boom;3750;300;UZ Antwerpen;Edegem;0.1178667
11005;2850;Boom;3750;314;AZ Heilige Familie;Rumst;0.5408
11007;2150;Borsbeek;2077;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.2026962
11007;2150;Borsbeek;2077;99;GZA ziekenhuizen;Anvers;0.1925855
11007;2150;Borsbeek;2077;300;UZ Antwerpen;Edegem;0.0659605
11007;2150;Borsbeek;2077;682;AZ Monica;Anvers;0.4467983
11008;2930;Brasschaat;7206;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1217041
11008;2930;Brasschaat;7206;99;GZA ziekenhuizen;Anvers;0.088121
11008;2930;Brasschaat;7206;682;AZ Monica;Anvers;0.0720233
11008;2930;Brasschaat;7206;710;AZ Klina;Brasschaat;0.6097696
11009;2960;Brecht;5277;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1243131
11009;2960;Brecht;5277;99;GZA ziekenhuizen;Anvers;0.0649991
11009;2960;Brecht;5277;536;AZ Sint-Jozef Malle;Malle;0.3875308
11009;2960;Brecht;5277;682;AZ Monica;Anvers;0.0939928
11009;2960;Brecht;5277;710;AZ Klina;Brasschaat;0.2143263
11013;2650;Edegem;4354;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.148599
11013;2650;Edegem;4354;99;GZA ziekenhuizen;Anvers;0.5440974
11013;2650;Edegem;4354;300;UZ Antwerpen;Edegem;0.138723
11013;2650;Edegem;4354;682;AZ Monica;Anvers;0.0571888
11016;2910;Essen;2961;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1225937
11016;2910;Essen;2961;99;GZA ziekenhuizen;Anvers;0.0634921
11016;2910;Essen;2961;536;AZ Sint-Jozef Malle;Malle;0.0563999
11016;2910;Essen;2961;710;AZ Klina;Brasschaat;0.6041878
11018;2620;Hemiksem;2315;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.2159827
11018;2620;Hemiksem;2315;99;GZA ziekenhuizen;Anvers;0.2133909
11018;2620;Hemiksem;2315;300;UZ Antwerpen;Edegem;0.0954644
11018;2620;Hemiksem;2315;314;AZ Heilige Familie;Rumst;0.3481641
11018;2620;Hemiksem;2315;682;AZ Monica;Anvers;0.0561555
11021;2540;Hove;1724;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0991879
11021;2540;Hove;1724;26;AZ Sint-Maarten;Malines;0.0771462
11021;2540;Hove;1724;99;GZA ziekenhuizen;Anvers;0.5197216
11021;2540;Hove;1724;300;UZ Antwerpen;Edegem;0.1316705
11021;2540;Hove;1724;682;AZ Monica;Anvers;0.0667053
11022;2920;Kalmthout;3120;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1282051
11022;2920;Kalmthout;3120;99;GZA ziekenhuizen;Anvers;0.0785256
11022;2920;Kalmthout;3120;536;AZ Sint-Jozef Malle;Malle;0.0512821
11022;2920;Kalmthout;3120;710;AZ Klina;Brasschaat;0.6022436
11023;2950;Kapellen (Anvers);4917;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1866992
11023;2950;Kapellen (Anvers);4917;99;GZA ziekenhuizen;Anvers;0.1012813
11023;2950;Kapellen (Anvers);4917;300;UZ Antwerpen;Edegem;0.0604027
11023;2950;Kapellen (Anvers);4917;682;AZ Monica;Anvers;0.0766728
11023;2950;Kapellen (Anvers);4917;710;AZ Klina;Brasschaat;0.5167785
11024;2550;Kontich;3894;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0788392
11024;2550;Kontich;3894;26;AZ Sint-Maarten;Malines;0.1625578
11024;2550;Kontich;3894;99;GZA ziekenhuizen;Anvers;0.3947098
11024;2550;Kontich;3894;300;UZ Antwerpen;Edegem;0.1414997
11024;2550;Kontich;3894;314;AZ Heilige Familie;Rumst;0.0690806
11024;2550;Kontich;3894;682;AZ Monica;Anvers;0.0644581
11025;2547;Lint;1680;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.052381
11025;2547;Lint;1680;26;AZ Sint-Maarten;Malines;0.3410714
11025;2547;Lint;1680;97;Heilig-Hartziekenhuis;Lierre;0.1535714
11025;2547;Lint;1680;99;GZA ziekenhuizen;Anvers;0.2214286
11025;2547;Lint;1680;300;UZ Antwerpen;Edegem;0.1017857
11025;2547;Lint;1680;682;AZ Monica;Anvers;0.0547619
11029;2640;Mortsel;4880;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1905738
11029;2640;Mortsel;4880;99;GZA ziekenhuizen;Anvers;0.5920082
11029;2640;Mortsel;4880;300;UZ Antwerpen;Edegem;0.069877
11029;2640;Mortsel;4880;682;AZ Monica;Anvers;0.0655738
11030;2845;Niel;2109;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1147463
11030;2845;Niel;2109;99;GZA ziekenhuizen;Anvers;0.1375059
11030;2845;Niel;2109;300;UZ Antwerpen;Edegem;0.1095306
11030;2845;Niel;2109;314;AZ Heilige Familie;Rumst;0.4964438
11035;2520;Ranst;3712;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1050647
11035;2520;Ranst;3712;97;Heilig-Hartziekenhuis;Lierre;0.3219289
11035;2520;Ranst;3712;99;GZA ziekenhuizen;Anvers;0.0961746
11035;2520;Ranst;3712;300;UZ Antwerpen;Edegem;0.0775862
11035;2520;Ranst;3712;536;AZ Sint-Jozef Malle;Malle;0.1112608
11035;2520;Ranst;3712;682;AZ Monica;Anvers;0.1627155
11037;2840;Rumst;3288;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.0839416
11037;2840;Rumst;3288;26;AZ Sint-Maarten;Malines;0.1672749
11037;2840;Rumst;3288;99;GZA ziekenhuizen;Anvers;0.1265207
11037;2840;Rumst;3288;300;UZ Antwerpen;Edegem;0.1006691
11037;2840;Rumst;3288;314;AZ Heilige Familie;Rumst;0.3935523
11038;2627;Schelle;1966;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1185148
11038;2627;Schelle;1966;99;GZA ziekenhuizen;Anvers;0.1861648
11038;2627;Schelle;1966;300;UZ Antwerpen;Edegem;0.1236012
11038;2627;Schelle;1966;314;AZ Heilige Familie;Rumst;0.4420142
11039;2970;Schilde;3957;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1336871
11039;2970;Schilde;3957;99;GZA ziekenhuizen;Anvers;0.1933283
11039;2970;Schilde;3957;536;AZ Sint-Jozef Malle;Malle;0.2946677
11039;2970;Schilde;3957;682;AZ Monica;Anvers;0.1791761
11039;2970;Schilde;3957;710;AZ Klina;Brasschaat;0.0869345
11040;2900;Schoten;6857;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.4668222
11040;2900;Schoten;6857;99;GZA ziekenhuizen;Anvers;0.093627
11040;2900;Schoten;6857;682;AZ Monica;Anvers;0.1589616
11040;2900;Schoten;6857;710;AZ Klina;Brasschaat;0.1812746
