code_ins;code_postal;commune_patient;nombre_de_séjours_par_comunne_patient;catégorie;nombre_de_séjours_par_hôpital_comunne_patient;numéro_agrément_hôpital;dénomination;commune_hôpital;part_de_marché
11001;2630;Aartselaar;3124;Moins de 15 ans;143;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.2587413
11001;2630;Aartselaar;3124;Moins de 15 ans;143;99;GZA ziekenhuizen;Anvers;0.2517483
11001;2630;Aartselaar;3124;Moins de 15 ans;143;300;UZ Antwerpen;Edegem;0.0769231
11001;2630;Aartselaar;3124;Moins de 15 ans;143;314;AZ Heilige Familie;Rumst;0.2657343
11001;2630;Aartselaar;3124;De 15 à 64 ans;1570;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1394904
11001;2630;Aartselaar;3124;De 15 à 64 ans;1570;99;GZA ziekenhuizen;Anvers;0.2617834
11001;2630;Aartselaar;3124;De 15 à 64 ans;1570;300;UZ Antwerpen;Edegem;0.133121
11001;2630;Aartselaar;3124;De 15 à 64 ans;1570;314;AZ Heilige Familie;Rumst;0.3
11001;2630;Aartselaar;3124;De 15 à 64 ans;1570;682;AZ Monica;Anvers;0.0624204
11001;2630;Aartselaar;3124;65 ans et plus;1411;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1693834
11001;2630;Aartselaar;3124;65 ans et plus;1411;99;GZA ziekenhuizen;Anvers;0.1970234
11001;2630;Aartselaar;3124;65 ans et plus;1411;300;UZ Antwerpen;Edegem;0.1467045
11001;2630;Aartselaar;3124;65 ans et plus;1411;314;AZ Heilige Familie;Rumst;0.3961729
11002;2000;Anvers;90700;Moins de 15 ans;7647;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.5097424
11002;2000;Anvers;90700;Moins de 15 ans;7647;99;GZA ziekenhuizen;Anvers;0.1588858
11002;2000;Anvers;90700;Moins de 15 ans;7647;300;UZ Antwerpen;Edegem;0.0731006
11002;2000;Anvers;90700;Moins de 15 ans;7647;682;AZ Monica;Anvers;0.1595397
11002;2000;Anvers;90700;De 15 à 64 ans;50657;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.381053
11002;2000;Anvers;90700;De 15 à 64 ans;50657;99;GZA ziekenhuizen;Anvers;0.2681564
11002;2000;Anvers;90700;De 15 à 64 ans;50657;300;UZ Antwerpen;Edegem;0.0645518
11002;2000;Anvers;90700;De 15 à 64 ans;50657;682;AZ Monica;Anvers;0.1667489
11002;2000;Anvers;90700;65 ans et plus;32396;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.4089702
11002;2000;Anvers;90700;65 ans et plus;32396;99;GZA ziekenhuizen;Anvers;0.290931
11002;2000;Anvers;90700;65 ans et plus;32396;300;UZ Antwerpen;Edegem;0.0615199
11002;2000;Anvers;90700;65 ans et plus;32396;682;AZ Monica;Anvers;0.1661008
11004;2530;Boechout;2605;Moins de 15 ans;108;9;Ziekenhuisnetwerk Antwerpen;Anvers;0.1388889
11004;2530;Boechout;2605;Moins de 15 ans;108;26;AZ Sint-Maarten;Malines;0.0833333
11004;2530;Boechout;2605;Moins de 15 ans;108;97;Heilig-Hartziekenhuis;Lierre;0.1851852
11004;2530;Boechout;2605;Moins de 15 ans;108;99;GZA ziekenhuizen;Anvers;0.2962963
11004;2530;Boechout;2605;Moins de 15 ans;108;300;UZ Antwerpen;Edegem;0.0833333
