nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;aantal_verblijven_per_ziekenhuis_gemeente_patient;marktaandeel
11001;2630;Aartselaar;3105;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;469;0.1510467
11001;2630;Aartselaar;3105;26;AZ Sint-Maarten;Mechelen;51;0.0164251
11001;2630;Aartselaar;3105;97;Heilig-Hartziekenhuis;Lier;8;0.0025765
11001;2630;Aartselaar;3105;99;GZA ziekenhuizen;Antwerpen;783;0.2521739
11001;2630;Aartselaar;3105;104;AZ Rivierenland;Rumst;41;0.0132045
11001;2630;Aartselaar;3105;300;UZ Antwerpen;Edegem;452;0.1455717
11001;2630;Aartselaar;3105;308;AZ Herentals;Herentals;5;0.0016103
11001;2630;Aartselaar;3105;314;AZ Rivierenland;Rumst;1041;0.3352657
11001;2630;Aartselaar;3105;322;UZ Leuven;Leuven;32;0.010306
11001;2630;Aartselaar;3105;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);13;0.0041868
11001;2630;Aartselaar;3105;682;AZ Monica;Antwerpen;157;0.0505636
11001;2630;Aartselaar;3105;710;AZ Klina;Brasschaat;11;0.0035427
11002;2000;Antwerpen;90375;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;36264;0.4012614
11002;2000;Antwerpen;90375;12;AZ Sint-Blasius;Dendermonde;39;0.0004315
11002;2000;Antwerpen;90375;17;AZ Maria Middelares;Gent;19;0.0002102
11002;2000;Antwerpen;90375;26;AZ Sint-Maarten;Mechelen;576;0.0063734
11002;2000;Antwerpen;90375;49;AZ Sint-Jan Brugge - Oostende;Brugge;21;0.0002324
11002;2000;Antwerpen;90375;63;AZ Turnhout;Turnhout;190;0.0021024
11002;2000;Antwerpen;90375;76;UMC Sint-Pieter;Brussel;15;0.000166
11002;2000;Antwerpen;90375;77;UVC Brugmann;Brussel;10;0.0001107
11002;2000;Antwerpen;90375;79;Jules Bordet Instituut;Brussel;75;0.0008299
11002;2000;Antwerpen;90375;87;Iris Ziekenhuizen Zuid;Etterbeek;9;9.96e-05
11002;2000;Antwerpen;90375;97;Heilig-Hartziekenhuis;Lier;207;0.0022905
11002;2000;Antwerpen;90375;99;GZA ziekenhuizen;Antwerpen;24071;0.2663458
11002;2000;Antwerpen;90375;102;Heilig-Hartziekenhuis;Mol;11;0.0001217
11002;2000;Antwerpen;90375;104;AZ Rivierenland;Rumst;93;0.001029
11002;2000;Antwerpen;90375;106;AZ Sint-Maria;Halle (Vlaams-Brabant);7;7.75e-05
11002;2000;Antwerpen;90375;108;RZ Heilig Hart;Leuven;55;0.0006086
11002;2000;Antwerpen;90375;109;RZ Heilig Hart Tienen;Tienen;30;0.000332
11002;2000;Antwerpen;90375;110;Kliniek Sint-Jan;Brussel;19;0.0002102
11002;2000;Antwerpen;90375;111;Europaziekenhuizen;Ukkel;9;9.96e-05
11002;2000;Antwerpen;90375;117;AZ Delta;Roeselare;14;0.0001549
11002;2000;Antwerpen;90375;124;VZW Sint-Jozefskliniek;Izegem;8;8.85e-05
11002;2000;Antwerpen;90375;126;Onze-Lieve-Vrouwziekenhuis;Aalst (Oost-Vlaanderen);49;0.0005422
11002;2000;Antwerpen;90375;140;AZ Sint-Lucas Brugge;Brugge;13;0.0001438
11002;2000;Antwerpen;90375;143;UZ Brussel;Jette;406;0.0044924
11002;2000;Antwerpen;90375;150;Universitair Kinderziekenhuis Koningin Fabiola;Brussel;5;5.53e-05
11002;2000;Antwerpen;90375;176;Algemeen Stedelijk Ziekenhuis;Aalst (Oost-Vlaanderen);18;0.0001992
11002;2000;Antwerpen;90375;204;AZ Jan Portaels;Vilvoorde;30;0.000332
11002;2000;Antwerpen;90375;217;AZ Sint-Elisabeth;Zottegem;11;0.0001217
11002;2000;Antwerpen;90375;243;Jessa Ziekenhuis;Hasselt;36;0.0003983
11002;2000;Antwerpen;90375;265;AZ Lokeren;Lokeren;61;0.000675
11002;2000;Antwerpen;90375;290;AZ Sint-Lucas;Gent;38;0.0004205
11002;2000;Antwerpen;90375;300;UZ Antwerpen;Edegem;5926;0.0655712
11002;2000;Antwerpen;90375;308;AZ Herentals;Herentals;71;0.0007856
11002;2000;Antwerpen;90375;310;AZ West;Veurne;22;0.0002434
11002;2000;Antwerpen;90375;314;AZ Rivierenland;Rumst;565;0.0062517
11002;2000;Antwerpen;90375;322;UZ Leuven;Leuven;1150;0.0127248
11002;2000;Antwerpen;90375;332;CHIREC - Delta Ziekenhuis;Oudergem;40;0.0004426
11002;2000;Antwerpen;90375;371;Ziekenhuis Oost-Limburg;Genk;54;0.0005975
11002;2000;Antwerpen;90375;392;AZ Zeno;Knokke-Heist;27;0.0002988
11002;2000;Antwerpen;90375;395;Sint-Andriesziekenhuis;Tielt (West-Vlaanderen);5;5.53e-05
11002;2000;Antwerpen;90375;396;AZ Groeninge;Kortrijk;14;0.0001549
11002;2000;Antwerpen;90375;403;Cliniques universitaires Saint-Luc;Sint-Lambrechts-Woluwe;29;0.0003209
11002;2000;Antwerpen;90375;406;Cliniques Universitaires de Bruxelles - Erasmus Ziekenhuis;Anderlecht;30;0.000332
11002;2000;Antwerpen;90375;525;AZ Damiaan Oostende;Oostende;11;0.0001217
11002;2000;Antwerpen;90375;536;AZ Sint-Jozef Malle;Malle;237;0.0026224
11002;2000;Antwerpen;90375;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);400;0.004426
11002;2000;Antwerpen;90375;670;UZ Gent;Gent;183;0.0020249
11002;2000;Antwerpen;90375;682;AZ Monica;Antwerpen;15236;0.1685864
11002;2000;Antwerpen;90375;689;Imelda Ziekenhuis;Bonheiden;151;0.0016708
11002;2000;Antwerpen;90375;709;AZ St.-Dimpna;Geel;41;0.0004537
11002;2000;Antwerpen;90375;710;AZ Klina;Brasschaat;3575;0.0395574
11002;2000;Antwerpen;90375;712;AZ Diest;Diest;11;0.0001217
11002;2000;Antwerpen;90375;713;AZ Jan Palfijn Gent;Gent;79;0.0008741
11002;2000;Antwerpen;90375;714;Sint-Franciscusziekenhuis;Heusden-Zolder;10;0.0001107
11002;2000;Antwerpen;90375;715;Sint-Trudo Ziekenhuis;Sint-Truiden;11;0.0001217
11002;2000;Antwerpen;90375;716;AZ Vesalius;Tongeren;6;6.64e-05
11002;2000;Antwerpen;90375;717;Ziekenhuis Maas en Kempen;Maaseik;7;7.75e-05
11002;2000;Antwerpen;90375;719;Mariaziekenhuis Noord-Limburg;Overpelt;10;0.0001107
