code_ins;code_postal;commune_patient;nombre_de_séjours_par_comunne_patient;numéro_agrément_hôpital;dénomination;commune_hôpital;nombre_de_séjours_par_hôpital_comunne_patient;part_de_marché
11001;2630;Aartselaar;3366;9;Ziekenhuisnetwerk Antwerpen;Anvers;493;0.1464646
11001;2630;Aartselaar;3366;26;AZ Sint-Maarten;Malines;28;0.0083185
11001;2630;Aartselaar;3366;63;AZ Turnhout;Turnhout;6;0.0017825
11001;2630;Aartselaar;3366;97;Heilig-Hartziekenhuis;Lierre;14;0.0041592
11001;2630;Aartselaar;3366;99;GZA ziekenhuizen;Anvers;751;0.2231135
11001;2630;Aartselaar;3366;104;AZ Rivierenland;Rumst;43;0.0127748
11001;2630;Aartselaar;3366;143;UZ Brussel;Jette;7;0.0020796
11001;2630;Aartselaar;3366;300;UZ Antwerpen;Edegem;671;0.1993464
11001;2630;Aartselaar;3366;314;AZ Rivierenland;Rumst;1080;0.3208556
11001;2630;Aartselaar;3366;322;UZ Leuven;Louvain;21;0.0062389
11001;2630;Aartselaar;3366;332;CHIREC - Hôpital Delta;Auderghem;5;0.0014854
11001;2630;Aartselaar;3366;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);9;0.0026738
11001;2630;Aartselaar;3366;670;UZ Gent;Gand;35;0.0103981
11001;2630;Aartselaar;3366;682;AZ Monica;Anvers;156;0.0463458
11001;2630;Aartselaar;3366;689;Imelda Ziekenhuis;Bonheiden;9;0.0026738
11001;2630;Aartselaar;3366;710;AZ Klina;Brasschaat;7;0.0020796
11002;2000;Anvers;89029;9;Ziekenhuisnetwerk Antwerpen;Anvers;34628;0.3889519
11002;2000;Anvers;89029;12;AZ Sint-Blasius;Termonde;28;0.0003145
11002;2000;Anvers;89029;17;AZ Maria Middelares;Gand;27;0.0003033
11002;2000;Anvers;89029;26;AZ Sint-Maarten;Malines;344;0.0038639
11002;2000;Anvers;89029;32;AZ Alma;Eeklo;9;0.0001011
11002;2000;Anvers;89029;49;AZ Sint-Jan Brugge - Oostende;Bruges;45;0.0005055
11002;2000;Anvers;89029;63;AZ Turnhout;Turnhout;161;0.0018084
11002;2000;Anvers;89029;76;CHU Saint-Pierre;Bruxelles;29;0.0003257
11002;2000;Anvers;89029;77;CHU Brugmann;Bruxelles;14;0.0001573
11002;2000;Anvers;89029;79;Institut Jules Bordet;Bruxelles;53;0.0005953
11002;2000;Anvers;89029;87;Hôpitaux Iris Sud;Etterbeek;12;0.0001348
11002;2000;Anvers;89029;97;Heilig-Hartziekenhuis;Lierre;198;0.002224
11002;2000;Anvers;89029;99;GZA ziekenhuizen;Anvers;23256;0.2612183
11002;2000;Anvers;89029;102;Heilig-Hartziekenhuis;Mol;37;0.0004156
11002;2000;Anvers;89029;104;AZ Rivierenland;Rumst;84;0.0009435
11002;2000;Anvers;89029;106;AZ Sint-Maria;Hal (Brabant flamand);8;8.99e-05
11002;2000;Anvers;89029;108;RZ Heilig Hart;Louvain;72;0.0008087
11002;2000;Anvers;89029;109;RZ Heilig Hart Tienen;Tirlemont;14;0.0001573
11002;2000;Anvers;89029;110;Clinique Saint-Jean;Bruxelles;11;0.0001236
11002;2000;Anvers;89029;111;Cliniques de l'Europe;Uccle;10;0.0001123
11002;2000;Anvers;89029;117;AZ Delta;Roulers;24;0.0002696
11002;2000;Anvers;89029;126;Onze-Lieve-Vrouwziekenhuis;Alost (Flandre orientale);46;0.0005167
11002;2000;Anvers;89029;140;AZ Sint-Lucas Brugge;Bruges;18;0.0002022
11002;2000;Anvers;89029;143;UZ Brussel;Jette;400;0.0044929
11002;2000;Anvers;89029;176;Algemeen Stedelijk Ziekenhuis;Alost (Flandre orientale);10;0.0001123
11002;2000;Anvers;89029;204;AZ Jan Portaels;Vilvorde;34;0.0003819
11002;2000;Anvers;89029;243;Jessa Ziekenhuis;Hasselt;59;0.0006627
11002;2000;Anvers;89029;265;AZ Lokeren;Lokeren;59;0.0006627
11002;2000;Anvers;89029;290;AZ Sint-Lucas;Gand;32;0.0003594
11002;2000;Anvers;89029;300;UZ Antwerpen;Edegem;6451;0.0724595
11002;2000;Anvers;89029;308;AZ Herentals;Herentals;90;0.0010109
11002;2000;Anvers;89029;310;AZ West;Furnes;18;0.0002022
11002;2000;Anvers;89029;314;AZ Rivierenland;Rumst;608;0.0068292
11002;2000;Anvers;89029;322;UZ Leuven;Louvain;1102;0.012378
11002;2000;Anvers;89029;332;CHIREC - Hôpital Delta;Auderghem;41;0.0004605
11002;2000;Anvers;89029;371;Ziekenhuis Oost-Limburg;Genk;54;0.0006065
11002;2000;Anvers;89029;392;AZ Zeno;Knokke-Heist;22;0.0002471
11002;2000;Anvers;89029;396;AZ Groeninge;Courtrai;14;0.0001573
11002;2000;Anvers;89029;397;OLV van Lourdes Ziekenhuis Waregem;Waregem;7;7.86e-05
11002;2000;Anvers;89029;403;Cliniques universitaires Saint-Luc;Woluwe-Saint-Lambert;38;0.0004268
11002;2000;Anvers;89029;406;Cliniques Universitaires de Bruxelles - Hôpital Érasme;Anderlecht;24;0.0002696
11002;2000;Anvers;89029;525;AZ Damiaan Oostende;Ostende;10;0.0001123
11002;2000;Anvers;89029;536;AZ Sint-Jozef Malle;Malle;256;0.0028755
11002;2000;Anvers;89029;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);427;0.0047962
11002;2000;Anvers;89029;670;UZ Gent;Gand;166;0.0018646
11002;2000;Anvers;89029;682;AZ Monica;Anvers;15936;0.1789979
11002;2000;Anvers;89029;689;Imelda Ziekenhuis;Bonheiden;157;0.0017635
11002;2000;Anvers;89029;709;AZ St.-Dimpna;Geel;59;0.0006627
11002;2000;Anvers;89029;710;AZ Klina;Brasschaat;3643;0.0409193
11002;2000;Anvers;89029;712;AZ Diest;Diest;6;6.74e-05
11002;2000;Anvers;89029;713;AZ Jan Palfijn Gent;Gand;69;0.000775
11002;2000;Anvers;89029;714;Sint-Franciscusziekenhuis;Heusden-Zolder;13;0.000146
11002;2000;Anvers;89029;716;AZ Vesalius;Tongres;6;6.74e-05
11002;2000;Anvers;89029;717;Ziekenhuis Maas en Kempen;Maaseik;10;0.0001123
11002;2000;Anvers;89029;719;Mariaziekenhuis Noord-Limburg;Overpelt;14;0.0001573
11002;2000;Anvers;89029;723;Centre Hospitalier Interrégional Édith Cavell;Anderlecht;16;0.0001797
11004;2530;Boechout;2594;9;Ziekenhuisnetwerk Antwerpen;Anvers;311;0.1198921
11004;2530;Boechout;2594;26;AZ Sint-Maarten;Malines;162;0.0624518
11004;2530;Boechout;2594;97;Heilig-Hartziekenhuis;Lierre;384;0.1480339
11004;2530;Boechout;2594;99;GZA ziekenhuizen;Anvers;1100;0.4240555
11004;2530;Boechout;2594;265;AZ Lokeren;Lokeren;5;0.0019275
11004;2530;Boechout;2594;300;UZ Antwerpen;Edegem;210;0.0809561
11004;2530;Boechout;2594;314;AZ Rivierenland;Rumst;29;0.0111796
11004;2530;Boechout;2594;322;UZ Leuven;Louvain;79;0.0304549
11004;2530;Boechout;2594;536;AZ Sint-Jozef Malle;Malle;5;0.0019275
11004;2530;Boechout;2594;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);12;0.0046261
11004;2530;Boechout;2594;682;AZ Monica;Anvers;247;0.0952197
11004;2530;Boechout;2594;689;Imelda Ziekenhuis;Bonheiden;8;0.003084
11004;2530;Boechout;2594;710;AZ Klina;Brasschaat;5;0.0019275
11005;2850;Boom;3866;9;Ziekenhuisnetwerk Antwerpen;Anvers;375;0.0969995
11005;2850;Boom;3866;12;AZ Sint-Blasius;Termonde;9;0.002328
11005;2850;Boom;3866;26;AZ Sint-Maarten;Malines;129;0.0333678
11005;2850;Boom;3866;97;Heilig-Hartziekenhuis;Lierre;5;0.0012933
11005;2850;Boom;3866;99;GZA ziekenhuizen;Anvers;330;0.0853595
11005;2850;Boom;3866;104;AZ Rivierenland;Rumst;121;0.0312985
11005;2850;Boom;3866;126;Onze-Lieve-Vrouwziekenhuis;Alost (Flandre orientale);5;0.0012933
11005;2850;Boom;3866;143;UZ Brussel;Jette;28;0.0072426
11005;2850;Boom;3866;204;AZ Jan Portaels;Vilvorde;8;0.0020693
11005;2850;Boom;3866;217;AZ Sint-Elisabeth;Zottegem;6;0.001552
11005;2850;Boom;3866;300;UZ Antwerpen;Edegem;500;0.1293326
11005;2850;Boom;3866;314;AZ Rivierenland;Rumst;2104;0.5442318
11005;2850;Boom;3866;322;UZ Leuven;Louvain;40;0.0103466
11005;2850;Boom;3866;332;CHIREC - Hôpital Delta;Auderghem;5;0.0012933
