code_ins;code_postal;commune_patient;nombre_de_séjours;classe;nombre_de_séjours.1;numéro_agrément_hôpital;dénomination;commune_hôpital;nombre_de_séjours.2;part_de_marché
11001;2630;Aartselaar;3594;Moins de 15 ans;125;9;Ziekenhuisnetwerk Antwerpen;Anvers;25;0.2
11001;2630;Aartselaar;3594;Moins de 15 ans;125;99;GZA ziekenhuizen;Anvers;23;0.184
11001;2630;Aartselaar;3594;Moins de 15 ans;125;104;AZ Rivierenland;Rumst;36;0.288
11001;2630;Aartselaar;3594;Moins de 15 ans;125;300;UZ Antwerpen;Edegem;10;0.08
11001;2630;Aartselaar;3594;Moins de 15 ans;125;322;UZ Leuven;Louvain;12;0.096
11001;2630;Aartselaar;3594;Moins de 15 ans;125;682;AZ Monica;Anvers;11;0.088
11001;2630;Aartselaar;3594;De 15 à 64 ans;1767;9;Ziekenhuisnetwerk Antwerpen;Anvers;234;0.1324278
11001;2630;Aartselaar;3594;De 15 à 64 ans;1767;26;AZ Sint-Maarten;Malines;43;0.024335
11001;2630;Aartselaar;3594;De 15 à 64 ans;1767;97;Heilig-Hartziekenhuis;Lierre;10;0.0056593
11001;2630;Aartselaar;3594;De 15 à 64 ans;1767;99;GZA ziekenhuizen;Anvers;386;0.2184493
11001;2630;Aartselaar;3594;De 15 à 64 ans;1767;104;AZ Rivierenland;Rumst;557;0.3152235
11001;2630;Aartselaar;3594;De 15 à 64 ans;1767;300;UZ Antwerpen;Edegem;360;0.2037351
11001;2630;Aartselaar;3594;De 15 à 64 ans;1767;322;UZ Leuven;Louvain;12;0.0067912
11001;2630;Aartselaar;3594;De 15 à 64 ans;1767;595;AZ Nikolaas;Saint-Nicolas (Flandre orientale);10;0.0056593
11001;2630;Aartselaar;3594;De 15 à 64 ans;1767;682;AZ Monica;Anvers;111;0.0628183
11001;2630;Aartselaar;3594;De 15 à 64 ans;1767;689;Imelda Ziekenhuis;Bonheiden;8;0.0045274
11001;2630;Aartselaar;3594;De 15 à 64 ans;1767;710;AZ Klina;Brasschaat;14;0.007923
11001;2630;Aartselaar;3594;65 ans et plus;1702;9;Ziekenhuisnetwerk Antwerpen;Anvers;268;0.1574618
11001;2630;Aartselaar;3594;65 ans et plus;1702;26;AZ Sint-Maarten;Malines;11;0.006463
11001;2630;Aartselaar;3594;65 ans et plus;1702;99;GZA ziekenhuizen;Anvers;353;0.2074031
11001;2630;Aartselaar;3594;65 ans et plus;1702;104;AZ Rivierenland;Rumst;647;0.380141
11001;2630;Aartselaar;3594;65 ans et plus;1702;300;UZ Antwerpen;Edegem;359;0.2109283
11001;2630;Aartselaar;3594;65 ans et plus;1702;322;UZ Leuven;Louvain;5;0.0029377
11001;2630;Aartselaar;3594;65 ans et plus;1702;670;UZ Gent;Gand;16;0.0094007
11001;2630;Aartselaar;3594;65 ans et plus;1702;682;AZ Monica;Anvers;33;0.019389
11002;2000;Anvers;93439;Moins de 15 ans;7612;9;Ziekenhuisnetwerk Antwerpen;Anvers;3700;0.4860746
11002;2000;Anvers;93439;Moins de 15 ans;7612;26;AZ Sint-Maarten;Malines;18;0.0023647
11002;2000;Anvers;93439;Moins de 15 ans;7612;97;Heilig-Hartziekenhuis;Lierre;12;0.0015765
11002;2000;Anvers;93439;Moins de 15 ans;7612;99;GZA ziekenhuizen;Anvers;1275;0.1674987
11002;2000;Anvers;93439;Moins de 15 ans;7612;104;AZ Rivierenland;Rumst;106;0.0139254
11002;2000;Anvers;93439;Moins de 15 ans;7612;108;RZ Heilig Hart;Louvain;8;0.001051
11002;2000;Anvers;93439;Moins de 15 ans;7612;143;UZ Brussel;Jette;17;0.0022333
11002;2000;Anvers;93439;Moins de 15 ans;7612;300;UZ Antwerpen;Edegem;629;0.0826327
