nis_code_patiënt;postcode_patiënt;gemeente_patiënt;aantal_verblijven_per_gemeente;erkenningsnummer_ziekenhuis;naam_ziekenhuis;gemeente_ziekenhuis;aantal_verblijven_per_ziekenhuis_gemeente_patient;marktaandeel
11001;2630;Aartselaar;1803;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;249;0.1381032
11001;2630;Aartselaar;1803;26;AZ Sint-Maarten;Mechelen;36;0.0199667
11001;2630;Aartselaar;1803;99;GZA ziekenhuizen;Antwerpen;359;0.1991126
11001;2630;Aartselaar;1803;104;AZ Rivierenland;Rumst;472;0.2617859
11001;2630;Aartselaar;1803;300;UZ Antwerpen;Edegem;499;0.276761
11001;2630;Aartselaar;1803;322;UZ Leuven;Leuven;49;0.0271769
11001;2630;Aartselaar;1803;595;AZ Nikolaas;Sint-Niklaas (Oost-Vlaanderen);5;0.0027732
11001;2630;Aartselaar;1803;670;UZ Gent;Gent;5;0.0027732
11001;2630;Aartselaar;1803;682;AZ Monica;Antwerpen;68;0.0377149
11001;2630;Aartselaar;1803;710;AZ Klina;Brasschaat;12;0.0066556
11002;2000;Antwerpen;64190;9;Ziekenhuisnetwerk Antwerpen;Antwerpen;25225;0.392974
11002;2000;Antwerpen;64190;12;AZ Sint-Blasius;Dendermonde;19;0.000296
11002;2000;Antwerpen;64190;17;AZ Maria Middelares;Gent;33;0.0005141
11002;2000;Antwerpen;64190;26;AZ Sint-Maarten;Mechelen;203;0.0031625
11002;2000;Antwerpen;64190;32;AZ Alma;Eeklo;18;0.0002804
11002;2000;Antwerpen;64190;49;AZ Sint-Jan Brugge - Oostende;Brugge;57;0.000888
11002;2000;Antwerpen;64190;57;Jan Yperman Ziekenhuis;Ieper;5;7.79e-05
11002;2000;Antwerpen;64190;63;AZ Turnhout;Turnhout;99;0.0015423
11002;2000;Antwerpen;64190;76;UMC Sint-Pieter;Brussel;22;0.0003427
11002;2000;Antwerpen;64190;77;UVC Brugmann;Brussel;13;0.0002025
11002;2000;Antwerpen;64190;79;Jules Bordet Instituut;Brussel;11;0.0001714
11002;2000;Antwerpen;64190;87;Iris Ziekenhuizen Zuid;Etterbeek;9;0.0001402
11002;2000;Antwerpen;64190;97;Heilig Hart Ziekenhuis - Lier;Lier;145;0.0022589
11002;2000;Antwerpen;64190;99;GZA ziekenhuizen;Antwerpen;17029;0.2652905
11002;2000;Antwerpen;64190;102;Heilig Hart Ziekenhuis;Mol;19;0.000296
11002;2000;Antwerpen;64190;104;AZ Rivierenland;Rumst;229;0.0035675
11002;2000;Antwerpen;64190;106;AZ Sint-Maria;Halle (Vlaams-Brabant);9;0.0001402
11002;2000;Antwerpen;64190;108;RZ Heilig Hart Leuven;Leuven;15;0.0002337
11002;2000;Antwerpen;64190;109;RZ Tienen;Tienen;6;9.35e-05
11002;2000;Antwerpen;64190;110;Kliniek Sint-Jan;Brussel;11;0.0001714
11002;2000;Antwerpen;64190;111;Europaziekenhuizen;Ukkel;10;0.0001558
11002;2000;Antwerpen;64190;117;AZ Delta;Roeselare;17;0.0002648
11002;2000;Antwerpen;64190;126;Onze-Lieve-Vrouw Ziekenhuis;Aalst (Oost-Vlaanderen);72;0.0011217
11002;2000;Antwerpen;64190;140;AZ Sint-Lucas;Brugge;58;0.0009036
11002;2000;Antwerpen;64190;143;UZ Brussel;Jette;127;0.0019785
11002;2000;Antwerpen;64190;150;Universitair Kinderziekenhuis Koningin Fabiola;Brussel;6;9.35e-05
11002;2000;Antwerpen;64190;152;Groupe santé CHC - Cliniques MontLégia et Waremme;Luik;6;9.35e-05
11002;2000;Antwerpen;64190;164;Vivalia - Hôpital de Marche;Marche-en-Famenne;6;9.35e-05
11002;2000;Antwerpen;64190;166;CHU UCL Namur - Site Sainte-Élisabeth;Namen;5;7.79e-05
11002;2000;Antwerpen;64190;176;Algemeen Stedelijk Ziekenhuis AV;Aalst (Oost-Vlaanderen);26;0.000405
11002;2000;Antwerpen;64190;204;AZ Jan Portaels;Vilvoorde;46;0.0007166
11002;2000;Antwerpen;64190;217;AZ Sint-Elisabeth;Zottegem;14;0.0002181
11002;2000;Antwerpen;64190;243;Jessa Ziekenhuis;Hasselt;36;0.0005608
11002;2000;Antwerpen;64190;264;CHU UCL Namur - Site Dinant;Dinant;5;7.79e-05
11002;2000;Antwerpen;64190;265;AZ Lokeren;Lokeren;11;0.0001714
11002;2000;Antwerpen;64190;290;AZ Sint-Lucas;Gent;38;0.000592
11002;2000;Antwerpen;64190;300;UZ Antwerpen;Edegem;6784;0.1056862
11002;2000;Antwerpen;64190;308;AZ Herentals;Herentals;82;0.0012775
11002;2000;Antwerpen;64190;310;AZ West;Veurne;26;0.000405
